time,open,high,low,close,Volume,Volume MA
2020-09-09 03:00:00,1.17786,1.17825,1.17731,1.17737,1663,7041.4
2020-09-09 04:00:00,1.17728,1.17782,1.17705,1.17729,1143,6874.25
2020-09-09 05:00:00,1.17724,1.1774,1.17568,1.17668,2566,6881.45
2020-09-09 06:00:00,1.1767,1.1769,1.1759,1.17667,2235,6909.65
2020-09-09 07:00:00,1.17668,1.17764,1.17658,1.17756,4161,7046.55
2020-09-09 08:00:00,1.17755,1.17797,1.17672,1.17763,5482,7167.3
2020-09-09 09:00:00,1.17762,1.17784,1.17727,1.17748,2861,6930.3
2020-09-09 10:00:00,1.17749,1.17811,1.1774,1.17803,3135,6723.25
2020-09-09 11:00:00,1.17803,1.17828,1.17766,1.17785,2299,6417.0
2020-09-09 12:00:00,1.17785,1.17825,1.17778,1.17803,2916,6111.5
2020-09-09 13:00:00,1.17801,1.17807,1.17608,1.17663,7030,5955.35
2020-09-09 14:00:00,1.17665,1.17792,1.17631,1.17748,8439,5948.5
2020-09-09 15:00:00,1.17747,1.17874,1.17632,1.17634,8622,5820.6
2020-09-09 16:00:00,1.17633,1.17755,1.17582,1.17671,6139,5412.9
2020-09-09 17:00:00,1.17668,1.17668,1.17536,1.17551,4785,4900.9
2020-09-09 18:00:00,1.17551,1.17696,1.17528,1.17674,7333,4724.7
2020-09-09 19:00:00,1.17676,1.18199,1.17652,1.17986,10410,4880.6
2020-09-09 20:00:00,1.17984,1.18249,1.17924,1.1816,13394,5309.2
2020-09-09 21:00:00,1.18164,1.18341,1.18061,1.18075,12612,5701.3
2020-09-09 22:00:00,1.18076,1.18219,1.1805,1.18095,7694,5745.95
2020-09-09 23:00:00,1.18094,1.18122,1.1802,1.18034,4260,5875.8
2020-09-10 00:00:00,1.18033,1.18097,1.1799,1.18037,4506,6043.95
2020-09-10 01:00:00,1.18037,1.1809,1.17991,1.18081,3328,6082.05
2020-09-10 02:00:00,1.18082,1.1811,1.18038,1.18038,3095,6125.05
